Time,Sensor1,Sensor2
2023-12-14 12:53:02.370151,"['56.4°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 12:54:01.553628,"['56.2°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 12:55:01.927043,"['56.2°', '10.9%']","['64.4°', '11.4%']"
2023-12-14 12:56:02.185678,"['56.4°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 12:57:02.446354,"['56.2°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 12:58:01.821417,"['56.4°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 12:59:02.050588,"['56.2°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 13:00:02.300136,"['56.2°', '10.9%']","['64.4°', '11.4%']"
2023-12-14 13:01:01.475722,"['56.2°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 13:02:01.747760,"['56°', '10.9%']","['64.4°', '11.4%']"
2023-12-14 13:03:01.963621,"['56.2°', '10.9%']","['64.6°', '11.4%']"
2023-12-14 13:04:02.266817,"['56.2°', '11%']","['64.6°', '11.4%']"
2023-12-14 13:05:01.465007,"['56.2°', '10.9%']","['64.4°', '11.4%']"
2023-12-14 13:06:01.728726,"['56°', '11%']","['64.4°', '11.4%']"
2023-12-14 13:07:01.933668,"['56°', '10.9%']","['64.2°', '11.4%']"
2023-12-14 13:08:02.181164,"['56.2°', '11%']","['64.4°', '11.4%']"
2023-12-14 13:09:02.326854,"['56°', '11%']","['64.4°', '11.4%']"
2023-12-14 13:10:01.596513,"['56.2°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:11:01.843281,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:12:02.051592,"['56°', '10.9%']","['64.2°', '11.4%']"
2023-12-14 13:13:02.301980,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:14:01.502394,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:15:01.732175,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:16:01.941464,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:17:02.199072,"['55.8°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:18:01.506417,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:19:01.847366,"['55.8°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:20:02.191033,"['56°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:21:02.445523,"['56°', '11%']","['64°', '11.4%']"
2023-12-14 13:22:01.763632,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:23:02.155981,"['55.8°', '11%']","['64.2°', '11.4%']"
2023-12-14 13:24:01.522091,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:25:01.719558,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:26:01.946968,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:27:02.292942,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:28:01.523069,"['55.8°', '11%']","['64°', '11.4%']"
2023-12-14 13:29:01.886805,"['55.8°', '11%']","['63.8°', '11.4%']"
2023-12-14 13:30:02.192865,"['55.8°', '11%']","['64°', '11.3%']"
2023-12-14 13:31:01.571743,"['55.8°', '11%']","['64°', '11.3%']"
2023-12-14 13:32:01.817151,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:33:02.008345,"['55.8°', '11%']","['63.8°', '11.4%']"
2023-12-14 13:34:02.252953,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:35:01.544695,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:36:01.785869,"['55.8°', '11%']","['63.8°', '11.4%']"
2023-12-14 13:37:02.157647,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:38:01.708671,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:39:01.946258,"['55.7°', '11%']","['63.8°', '11.4%']"
2023-12-14 13:40:02.205333,"['55.7°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:41:01.450675,"['55.7°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:42:01.759846,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:43:02.277335,"['55.7°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:44:01.558440,"['55.7°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:45:01.817955,"['55.8°', '11%']","['63.8°', '11.3%']"
2023-12-14 13:46:02.120067,"['55.7°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:47:01.583427,"['55.7°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:48:01.722178,"['55.7°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:49:01.916738,"['55.5°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:50:02.015717,"['55.5°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:51:02.261314,"['55.5°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:52:01.619024,"['55.5°', '11%']","['63.6°', '11.3%']"
2023-12-14 13:53:01.876016,"['55.5°', '11%']","['63.4°', '11.3%']"
2023-12-14 13:54:02.103174,"['55.5°', '11%']","['63.4°', '11.3%']"
2023-12-14 13:55:01.603778,"['55.5°', '11%']","['63.4°', '11.3%']"
2023-12-14 13:56:01.904235,"['55.5°', '11%']","['63.4°', '11.2%']"
2023-12-14 13:57:02.233898,"['55.3°', '11%']","['63.4°', '11.3%']"
2023-12-14 13:58:01.573085,"['55.3°', '11%']","['63.4°', '11.2%']"
2023-12-14 13:59:01.986202,"['55.3°', '11%']","['63.2°', '11.2%']"
2023-12-14 14:00:02.359700,"['55.3°', '11%']","['63.2°', '11.2%']"
2023-12-14 14:01:01.687366,"['55.3°', '11%']","['63.2°', '11.2%']"
2023-12-14 14:02:01.914868,"['55.3°', '11%']","['63.4°', '11.2%']"
2023-12-14 14:03:02.099244,"['55.1°', '11%']","['63.2°', '11.2%']"
2023-12-14 14:04:02.344856,"['55.1°', '11%']","['63.4°', '11.2%']"
2023-12-14 14:05:01.692759,"['55.1°', '10.9%']","['63.2°', '11.2%']"
2023-12-14 14:06:01.998562,"['55.1°', '10.9%']","['63.2°', '11.2%']"
2023-12-14 14:07:01.486805,"['55.1°', '11%']","['63.2°', '11.2%']"
2023-12-14 14:08:01.627938,"['55.1°', '10.9%']","['63°', '11.2%']"
2023-12-14 14:09:01.914260,"['55.1°', '10.9%']","['63°', '11.2%']"
2023-12-14 14:10:02.171521,"['55.1°', '10.9%']","['63.2°', '11.2%']"
2023-12-14 14:11:01.496000,"['55.1°', '10.9%']","['63°', '11.2%']"
2023-12-14 14:12:01.778536,"['55.1°', '10.9%']","['63°', '11.2%']"
2023-12-14 14:13:02.068171,"['55.1°', '10.9%']","['63°', '11.2%']"
2023-12-14 14:14:02.272677,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:15:01.584202,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:16:01.805898,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:17:02.208868,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:18:01.611573,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:19:01.914046,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:20:02.126629,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:21:02.439228,"['55.1°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:22:01.958279,"['54.9°', '10.9%']","['63°', '11.1%']"
2023-12-14 14:23:02.239544,"['55.1°', '10.9%']","['62.8°', '11%']"
2023-12-14 14:24:01.493445,"['55.1°', '10.9%']","['62.8°', '11.1%']"
2023-12-14 14:25:01.818843,"['55.1°', '10.9%']","['62.8°', '11%']"
2023-12-14 14:26:01.915935,"['54.7°', '10.8%']","['62.8°', '11%']"
2023-12-14 14:27:02.194221,"['54.9°', '10.8%']","['62.8°', '11%']"
2023-12-14 14:28:02.301890,"['54.7°', '10.8%']","['62.8°', '11%']"
2023-12-14 14:29:01.588574,"['54.7°', '10.8%']","['62.8°', '11%']"
2023-12-14 14:30:01.727873,"['54.9°', '10.8%']","['62.6°', '11%']"
2023-12-14 14:31:02.120985,"['54.9°', '10.8%']","['62.6°', '11%']"
2023-12-14 14:32:02.429237,"['54.7°', '10.8%']","['62.6°', '11%']"
2023-12-14 14:33:01.732494,"['54.7°', '10.8%']","['62.6°', '11%']"
2023-12-14 14:34:01.966880,"['54.7°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:35:02.279660,"['54.5°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:36:01.548381,"['54.7°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:37:02.167369,"['54.5°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:38:01.491023,"['54.5°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:39:01.805328,"['54.5°', '10.8%']","['62.6°', '10.9%']"
2023-12-14 14:40:02.031746,"['54.5°', '10.7%']","['62.6°', '10.9%']"
2023-12-14 14:41:02.302866,"['54.5°', '10.7%']","['62.4°', '10.9%']"
2023-12-14 14:42:01.686297,"['54.5°', '10.7%']","['62.4°', '10.9%']"
2023-12-14 14:43:01.915104,"['54.5°', '10.7%']","['62.4°', '10.9%']"
2023-12-14 14:44:02.140455,"['54.5°', '10.7%']","['62.4°', '10.9%']"
2023-12-14 14:45:02.351230,"['54.5°', '10.7%']","['62.6°', '10.9%']"
2023-12-14 14:46:01.611157,"['54.5°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:47:01.849739,"['54.5°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:48:02.323472,"['54.3°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:49:01.540582,"['54.3°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:50:01.851236,"['54.5°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:51:02.131997,"['54.3°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:52:01.705562,"['54.5°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:53:01.867182,"['54.3°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:54:02.238285,"['54.3°', '10.7%']","['62.4°', '10.8%']"
2023-12-14 14:55:01.567874,"['54.3°', '10.7%']","['62.4°', '10.7%']"
2023-12-14 14:56:01.856128,"['54.3°', '10.6%']","['62.4°', '10.8%']"
2023-12-14 14:57:02.018843,"['54.3°', '10.6%']","['62.2°', '10.8%']"
2023-12-14 14:58:02.197936,"['54.3°', '10.6%']","['62.4°', '10.7%']"
2023-12-14 14:59:02.381744,"['54.3°', '10.6%']","['62.2°', '10.7%']"
2023-12-14 15:00:01.827174,"['54.3°', '10.6%']","['62.2°', '10.7%']"
2023-12-14 15:01:02.101440,"['54.3°', '10.6%']","['62.2°', '10.7%']"
2023-12-14 15:02:02.458590,"['54.3°', '10.6%']","['62.4°', '10.7%']"
2023-12-14 15:03:01.733878,"['54.3°', '10.6%']","['62.4°', '10.7%']"
2023-12-14 15:04:02.010346,"['54.3°', '10.6%']","['62.2°', '10.7%']"
2023-12-14 15:05:02.124903,"['54.3°', '10.5%']","['62.2°', '10.7%']"
2023-12-14 15:06:01.602896,"['54.5°', '10.5%']","['62.2°', '10.7%']"
2023-12-14 15:07:01.731671,"['54.3°', '10.6%']","['62.2°', '10.6%']"
2023-12-14 15:08:02.003937,"['54.3°', '10.5%']","['62.2°', '10.6%']"
2023-12-14 15:09:02.365469,"['54.3°', '10.5%']","['62.2°', '10.6%']"
2023-12-14 15:10:01.618123,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:11:01.941246,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:12:02.164198,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:13:02.396547,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:14:01.697857,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:15:01.859127,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:16:02.101518,"['54.3°', '10.5%']","['62.4°', '10.5%']"
2023-12-14 15:17:02.322306,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:18:02.462492,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:19:01.748329,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:20:02.067579,"['54.3°', '10.5%']","['62.2°', '10.5%']"
2023-12-14 15:21:02.408893,"['54.3°', '10.4%']","['62.2°', '10.5%']"
2023-12-14 15:22:01.680098,"['54.3°', '10.4%']","['62.2°', '10.5%']"
2023-12-14 15:23:02.056229,"['54.3°', '10.4%']","['62.2°', '10.5%']"
2023-12-14 15:24:01.504752,"['54.3°', '10.4%']","['62.2°', '10.5%']"
2023-12-14 15:25:01.627302,"['54.3°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:26:01.828768,"['54.3°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:27:02.093773,"['54.1°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:28:02.300286,"['54.1°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:29:01.515534,"['54.3°', '10.3%']","['62.2°', '10.4%']"
2023-12-14 15:30:01.622547,"['54.3°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:31:01.858729,"['54.3°', '10.4%']","['62.2°', '10.4%']"
2023-12-14 15:32:02.106738,"['54.3°', '10.3%']","['62.2°', '10.4%']"
2023-12-14 15:33:02.352250,"['54.3°', '10.3%']","['62.2°', '10.4%']"
2023-12-14 15:34:01.584155,"['54.3°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:35:01.886811,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:36:02.042632,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:37:02.329993,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:38:01.617347,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:39:01.852666,"['54.1°', '10.2%']","['62.2°', '10.3%']"
2023-12-14 15:40:02.132327,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:41:02.249581,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:42:01.457620,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:43:01.766173,"['54.1°', '10.3%']","['62.2°', '10.3%']"
2023-12-14 15:44:02.139446,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:45:02.351989,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:46:01.611790,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:47:01.838003,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:48:02.036541,"['54.1°', '10.2%']","['62°', '10.2%']"
2023-12-14 15:49:01.578632,"['54.1°', '10.2%']","['62°', '10.2%']"
2023-12-14 15:50:01.778548,"['54.1°', '10.2%']","['62°', '10.2%']"
2023-12-14 15:51:02.154903,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:52:02.291074,"['54.1°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:53:01.465859,"['54.1°', '10.2%']","['62°', '10.2%']"
2023-12-14 15:54:01.626660,"['54.1°', '10.2%']","['62°', '10.2%']"
2023-12-14 15:55:01.853107,"['53.9°', '10.2%']","['62.2°', '10.2%']"
2023-12-14 15:56:02.150239,"['54.1°', '10.2%']","['62.2°', '10.1%']"
2023-12-14 15:57:01.533833,"['53.9°', '10.2%']","['62°', '10.1%']"
2023-12-14 15:58:01.786967,"['53.9°', '10.2%']","['62.2°', '10.1%']"
2023-12-14 15:59:01.916516,"['53.9°', '10.2%']","['62.2°', '10.1%']"
2023-12-14 16:00:02.167601,"['53.9°', '10.2%']","['62°', '10.1%']"
2023-12-14 16:01:01.654383,"['54.1°', '10.2%']","['62°', '10.1%']"
2023-12-14 16:02:01.852145,"['53.9°', '10.2%']","['62°', '10.1%']"
2023-12-14 16:03:02.025969,"['53.9°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:04:02.117821,"['54.1°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:05:02.354291,"['53.9°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:06:01.578180,"['53.9°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:07:01.771235,"['54.1°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:08:02.428075,"['54.1°', '10.1%']","['62°', '10%']"
2023-12-14 16:09:01.692358,"['54.1°', '10.1%']","['61.8°', '10%']"
2023-12-14 16:10:02.128105,"['54.1°', '10.1%']","['62°', '10.1%']"
2023-12-14 16:11:01.521979,"['53.7°', '10.1%']","['62°', '10%']"
2023-12-14 16:12:01.654665,"['53.9°', '10.1%']","['62°', '10%']"
2023-12-14 16:13:01.931078,"['53.9°', '10%']","['62°', '10%']"
2023-12-14 16:14:02.039052,"['53.9°', '10.1%']","['62°', '10%']"
2023-12-14 16:15:02.194479,"['53.9°', '10%']","['62°', '10%']"
2023-12-14 16:16:02.428336,"['53.9°', '10.1%']","['61.8°', '10%']"
2023-12-14 16:17:01.680341,"['54.1°', '10%']","['62°', '10%']"
2023-12-14 16:18:01.958882,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:19:02.130919,"['53.9°', '10%']","['62°', '10%']"
2023-12-14 16:20:02.360768,"['53.9°', '10%']","['62°', '10%']"
2023-12-14 16:21:01.713323,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:22:01.925837,"['53.7°', '10%']","['61.8°', '10%']"
2023-12-14 16:23:02.278748,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:24:01.512336,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:25:02.011333,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:26:02.348053,"['53.7°', '10%']","['62°', '9.9%']"
2023-12-14 16:27:01.505126,"['53.9°', '10%']","['61.8°', '9.9%']"
2023-12-14 16:28:01.631033,"['53.7°', '10%']","['61.8°', '9.9%']"
2023-12-14 16:29:01.860850,"['53.7°', '10%']","['61.8°', '9.9%']"
2023-12-14 16:30:02.069847,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:31:02.282403,"['53.7°', '9.9%']","['61.8°', '9.9%']"
2023-12-14 16:32:02.439442,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:33:01.622473,"['53.9°', '10%']","['62°', '9.9%']"
2023-12-14 16:34:01.797092,"['53.7°', '9.9%']","['62°', '9.9%']"
2023-12-14 16:35:02.050945,"['53.7°', '9.9%']","['61.8°', '9.9%']"
2023-12-14 16:36:01.469371,"['53.7°', '9.9%']","['61.8°', '9.9%']"
2023-12-14 16:37:01.718386,"['53.9°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:38:01.938693,"['53.9°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:39:02.225665,"['53.7°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:40:01.471217,"['53.7°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:41:01.736389,"['53.7°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:42:01.835459,"['53.7°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:43:01.932768,"['53.7°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:44:02.181461,"['53.5°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:45:01.695644,"['53.9°', '9.9%']","['61.8°', '9.8%']"
2023-12-14 16:46:01.933304,"['53.7°', '9.8%']","['61.8°', '9.8%']"
2023-12-14 16:47:02.310564,"['53.7°', '9.8%']","['62°', '9.8%']"
2023-12-14 16:48:01.467843,"['53.7°', '9.8%']","['61.8°', '9.8%']"
2023-12-14 16:49:01.620554,"['53.5°', '9.8%']","['61.8°', '9.8%']"
2023-12-14 16:50:01.933967,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:51:02.106361,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:52:02.227146,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:53:02.349665,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:54:01.464368,"['53.5°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:55:01.608988,"['53.7°', '9.9%']","['61.8°', '9.7%']"
2023-12-14 16:56:01.648363,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:57:01.741009,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:58:01.940073,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 16:59:02.232229,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 17:00:01.515877,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 17:01:01.751683,"['53.5°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 17:02:01.938587,"['53.7°', '9.8%']","['61.8°', '9.7%']"
2023-12-14 17:03:02.107347,"['53.7°', '9.7%']","['61.8°', '9.7%']"
2023-12-14 17:04:02.425659,"['53.7°', '9.7%']","['61.8°', '9.7%']"
2023-12-14 17:05:01.588802,"['53.7°', '9.7%']","['61.8°', '9.7%']"
2023-12-14 17:06:01.792608,"['53.5°', '9.7%']","['61.8°', '9.6%']"
2023-12-14 17:07:01.853896,"['53.7°', '9.7%']","['61.8°', '9.7%']"
2023-12-14 17:08:02.028048,"['53.7°', '9.7%']","['61.8°', '9.6%']"
2023-12-14 17:09:02.204449,"['53.7°', '9.7%']","['61.8°', '9.6%']"
2023-12-14 17:10:01.769319,"['53.5°', '9.7%']","['62°', '9.6%']"
2023-12-14 17:11:02.060325,"['53.7°', '9.7%']","['61.8°', '9.6%']"
